customerID,Region,Monthly tax,TotalCharges
7590-VHVEG,EMEA,8.955,29.85
5575-GNVDE,APJC,566.85,1889.5
3668-QPYBK,USA,32.445,108.15
7795-CFOCW,GC,552.225,1840.75
9237-HQITU,EMEA,45.495,151.65
9305-CDSKC,APJC,246.15,820.5
1452-KIOVK,USA,584.82,1949.4
6713-OKOMC,GC,90.57,301.9
7892-POOKP,EMEA,913.815,3046.05
6388-TABGU,APJC,1046.385,3487.95
9763-GRSKD,USA,176.235,587.45
7469-LKBCI,GC,98.04,326.8
8091-TTVAX,EMEA,1704.33,5681.1
0280-XJGEX,APJC,1510.89,5036.3
5129-JLPIS,USA,805.815,2686.05
3655-SNQYZ,GC,2368.545,7895.15
8191-XWSZG,EMEA,306.885,1022.95
9959-WOFKT,APJC,2214.675,7382.25
4190-MFLUW,USA,158.505,528.35
4183-MYFRB,GC,558.87,1862.9
8779-QRDMV,EMEA,11.895,39.65
1680-VDCWW,APJC,60.675,202.25
1066-JKSGK,USA,6.045,20.15
3638-WEABW,GC,1051.53,3505.1
6322-HRPFA,EMEA,891.09,2970.3
6865-JZNKO,APJC,459.18,1530.6
6467-CHFZW,USA,1424.745,4749.15
8665-UTDHZ,GC,9.06,30.2
5248-YGIJN,EMEA,1910.835,6369.45
8773-HHUOZ,APJC,327.93,1093.1
3841-NFECX,USA,2030.085,6766.95
4929-XIHVW,GC,54.495,181.65
6827-IEAUQ,EMEA,562.335,1874.45
7310-EGVHZ,APJC,6.06,20.2
3413-BMNZE,USA,13.575,45.25
6234-RAAPL,GC,2175.51,7251.7
6047-YHPVI,EMEA,95.07,316.9
6572-ADKRS,APJC,1064.49,3548.3
5380-WJKOV,USA,1064.775,3549.25
8168-UQWWF,GC,331.62,1105.4
8865-TNMNX,EMEA,142.71,475.7
9489-DEDVP,APJC,1461.705,4872.35
9867-JCZSP,USA,125.475,418.25
4671-VJLCL,GC,1458.435,4861.45
4080-IIARD,EMEA,294.435,981.45
3714-NTNFO,APJC,1172.01,3906.7
5948-UJZLF,USA,29.1,97
7760-OYPDY,GC,43.245,144.15
7639-LIAYI,EMEA,1265.34,4217.8
2954-PIBKO,APJC,1276.23,4254.1
8012-SOUDQ,USA,1151.625,3838.75
9420-LOJKX,GC,427.92,1426.4
6575-SUVOI,EMEA,525.795,1752.65
7495-OOKFY,APJC,189.99,633.3
4667-QONEA,USA,1336.905,4456.35
1658-BYGOY,GC,525.765,1752.55
8769-KKTPH,EMEA,1893.36,6311.2
5067-XJQFU,APJC,2122.905,7076.35
3957-SQXML,USA,268.29,894.3
5954-BDFSG,GC,2356.11,7853.7
0434-CSFON,EMEA,1412.13,4707.1
1215-FIGMP,APJC,1635.21,5450.7
0526-SXDJP,USA,888.6,2962
0557-ASKVU,GC,287.13,957.1
5698-BQJOH,EMEA,257.175,857.25
5122-CYFXA,APJC,73.23,244.1
8627-ZYGSZ,USA,1095.105,3650.35
3410-YOQBQ,GC,749.16,2497.2
3170-NMYVV,EMEA,279.27,930.9
